name,value,year,lastValue,rank
Subaru,NA,2017.2,NA,100
Apple,193251.799999999,2017.3,190219.200000001,1
Google,145843.899999999,2017.3,144463.600000001,2
Microsoft,83813.7999999994,2017.3,82542.2000000006,3
Amazon,75586.3999999984,2017.3,71989.6000000016,4
Coca-Cola,68715.4000000002,2017.3,69054.5999999998,5
Samsung,57341.2999999998,2017.3,56977.2000000002,6
Toyota,51224.8999999999,2017.3,50913.6000000001,7
Mercedes-Benz,48060.6,2017.3,47983.4,8
Facebook,47282.0000000001,2017.3,47583.9999999999,9
IBM,45671.9000000002,2017.3,46057.5999999998,10
McDonald's,42098.1999999999,2017.3,41909.8000000001,11
BMW,41366.5,2017.3,41418,12
GE,40772.7000000005,2017.3,41917.7999999995,13
Intel,40609.1999999998,2017.3,40225.8000000002,14
Disney,40502.6,2017.3,40592.4,15
Cisco,32723.4999999999,2017.3,32459.0000000001,16
Nike,27950.6999999999,2017.3,27640.8000000001,17
Oracle,27066.1000000001,2017.3,27199.3999999999,18
Louis Vuitton,24488.8999999998,2017.3,23965.6000000002,19
Honda,22991.8,2017.3,22893.2,20
SAP,22710,2017.3,22685,21
Pepsi,20583.1,2017.3,20552.4,22
H&M,19389.4000000002,2017.3,19755.5999999998,23
Zara,18314.7,2017.3,18400.8,24
American Express,18192.5999999999,2017.3,18057.4000000001,25
IKEA,18167.8,2017.3,18269.2,26
Gillette,17799.2000000001,2017.3,17932.7999999999,27
UPS,16525.6,2017.3,16479.4,28
Pampers,16476.3,2017.3,16456.2,29
J.P. Morgan,16294.3999999999,2017.3,16112.6000000001,30
Budweiser,15450.6,2017.3,15425.4,31
Hermès,14858.5999999999,2017.3,14642.4000000001,32
Ford,13748.6,2017.3,13713.4,33
Hyundai,13295.6,2017.3,13261.4,34
eBay,13161.9,2017.3,13182.6,35
Accenture,12993.8999999999,2017.3,12819.6000000001,36
NESCAFÉ,12778.6,2017.3,12739.4,37
Audi,12072.2,2017.3,12055.8,38
Nissan,11737.7,2017.3,11669.8,39
Volkswagen,11725.7,2017.3,11657.8,40
Philips,11694.5,2017.3,11636,41
Goldman Sachs,11135.5,2017.3,11045,42
AXA,11086.5,2017.3,11082,43
Citi,10892.4,2017.3,10794.6,44
Kellogg's,10870.6,2017.3,10904.4,45
Gucci,10860.8999999999,2017.3,10563.6000000001,46
L'Oréal,10802.4,2017.3,10759.6,47
HSBC,10736.2,2017.3,10668.8,48
Porsche,10302.4,2017.3,10244.6,49
Allianz,10287.6,2017.3,10211.4,50
Siemens,10027,2017.3,10012,51
Canon,9965.59999999997,2017.3,9906.40000000003,52
HP,9808.59999999996,2017.3,9719.40000000004,53
adidas,9682.79999999993,2017.3,9527.20000000007,54
Adobe,9566.39999999992,2017.3,9397.60000000008,55
Danone,9385.29999999999,2017.3,9364.20000000001,56
3M,8994.09999999999,2017.3,8978.40000000001,57
Starbucks,8977.29999999996,2017.3,8886.20000000004,58
Nestlé,8790.99999999999,2017.3,8770.00000000001,59
Sony,8726.59999999996,2017.3,8642.40000000004,60
Hewlett Packard Enterprise,8712.80000000004,2017.3,8792.19999999996,61
Colgate,8425.19999999998,2017.3,8391.80000000002,62
Morgan Stanley,8384.09999999997,2017.3,8324.40000000003,63
Visa,8176.79999999994,2017.3,8056.20000000006,64
Cartier,7576.7,2017.3,7566.8,65
Banco Santander,6955.49999999996,2017.3,6871.00000000004,66
Huawei,6946.59999999996,2017.3,6856.40000000004,67
LEGO,6876.70000000002,2017.3,6925.79999999998,68
Kia,6755.59999999999,2017.3,6731.40000000001,69
Mastercard,6708.49999999995,2017.3,6589.00000000005,70
FedEx,6445.49999999997,2017.3,6382.00000000003,71
Netflix,6347.69999999989,2017.3,6095.80000000011,72
Land Rover,6132.79999999999,2017.3,6120.20000000001,73
Johnson & Johnson,6097.99999999999,2017.3,6079.00000000001,74
Panasonic,6075.99999999999,2017.3,6045.00000000001,75
PayPal,5771.89999999995,2017.3,5650.60000000005,76
DHL,5764.79999999999,2017.3,5748.20000000001,77
Salesforce.com,5586.39999999995,2017.3,5465.60000000005,78
Harley-Davidson,5518.00000000002,2017.3,5568.99999999998,79
Discovery,5514.19999999998,2017.3,5479.80000000002,80
Tiffany & Co.,5468.39999999999,2017.3,5443.60000000001,81
Jack Daniel's,5424.69999999999,2017.3,5393.80000000001,82
KFC,5363.39999999999,2017.3,5346.60000000001,83
Heineken,5244.59999999999,2017.3,5223.40000000001,84
MINI,5155.99999999999,2017.3,5142.00000000001,85
Ferrari,5141.19999999996,2017.3,5052.80000000004,86
Caterpillar,5126.59999999996,2017.3,5040.40000000004,87
Burberry,5091.20000000001,2017.3,5105.79999999999,88
Corona,4998.29999999997,2017.3,4924.20000000003,89
John Deere,4960.59999999997,2017.3,4901.40000000003,90
Shell,4958.89999999998,2017.3,4913.60000000002,91
Sprite,4809.3,2017.3,4820.2,92
Dior,4777.79999999997,2017.3,4714.20000000003,93
Prada,4744.8,2017.3,4735.2,94
Johnnie Walker,4502.79999999998,2017.3,4470.20000000002,95
Chanel,NA,2017.3,NA,96
Hennessy,NA,2017.3,NA,97
Nintendo,NA,2017.3,NA,98
Spotify,NA,2017.3,NA,99
Subaru,NA,2017.3,NA,100
Apple,196284.400000003,2017.4,193251.799999999,1
Google,147224.200000001,2017.4,145843.899999999,2
Microsoft,85085.4000000012,2017.4,83813.7999999994,3
Amazon,79183.2000000033,2017.4,75586.3999999984,4
Coca-Cola,68376.1999999997,2017.4,68715.4000000002,5
Samsung,57705.4000000003,2017.4,57341.2999999998,6
Toyota,51536.2000000003,2017.4,51224.8999999999,7
Mercedes-Benz,48137.8000000001,2017.4,48060.6,8
Facebook,46979.9999999997,2017.4,47282.0000000001,9
IBM,45286.1999999996,2017.4,45671.9000000002,10
McDonald's,42286.6000000002,2017.4,42098.1999999999,11
BMW,41315,2017.4,41366.5,12
Intel,40992.6000000003,2017.4,40609.1999999998,13
Disney,40412.7999999999,2017.4,40502.6,14
GE,39627.599999999,2017.4,40772.7000000005,15
Cisco,32988.0000000002,2017.4,32723.4999999999,16
Nike,28260.6000000003,2017.4,27950.6999999999,17
